25.07.2025 22:34:23 | From: 5555666677778888 | To: 1111222233334444 | Amount: 87600 | Fee: 0 | Result: FAILED: Not enough money
25.07.2025 22:35:12 | From: 5555666677778888 | To: 1111222233334444 | Amount: 50000 | Fee: 0 | Result:  OPERATION CREATED
25.07.2025 22:35:12 | From: 5555666677778888 | To: 1111222233334444 | Amount: 50000 | Fee: 500 | Result: OPERATION SUCCESS
25.07.2025 22:40:12 | From: 4444555566667777 | To: 1111222233334444 | Amount: 50000 | Fee: 0 | Result: FAILED: Sender card not found
25.07.2025 22:40:13 | From: 4444555566667777 | To: 1111222233334444 | Amount: 50000 | Fee: 0 | Result: FAILED: Sender card not found
25.07.2025 22:40:32 | From: 5555666677778888 | To: 1111222233334444 | Amount: 50000 | Fee: 500 | Result: FAILED: Not enough money
25.07.2025 22:40:43 | From: 5555666677778888 | To: 1111222233334444 | Amount: 49500 | Fee: 495 | Result: OPERATION CREATED
25.07.2025 22:40:43 | From: 5555666677778888 | To: 1111222233334444 | Amount: 49500 | Fee: 495 | Result: OPERATION SUCCESS
25.07.2025 23:22:17 | From: 1111222233334445 | To: 5555666677778887 | Amount: 1100 | Fee: 0 | Result: FAILED: Sender card not found
25.07.2025 23:22:22 | From: 1111222233334444 | To: 5555666677778887 | Amount: 1100 | Fee: 0 | Result: FAILED: Invalid valid till date
25.07.2025 23:22:26 | From: 1111222233334444 | To: 5555666677778887 | Amount: 1100 | Fee: 0 | Result: FAILED: Invalid CVV code
25.07.2025 23:22:29 | From: 1111222233334444 | To: 5555666677778887 | Amount: 1100 | Fee: 0 | Result: FAILED: Receiver card not found
25.07.2025 23:22:34 | From: 1111222233334444 | To: 5555666677778888 | Amount: 11223300 | Fee: 112233 | Result: FAILED: Not enough money
25.07.2025 23:22:38 | From: 1111222233334444 | To: 5555666677778888 | Amount: 11200 | Fee: 112 | Result: FAILED: Not enough money
25.07.2025 23:22:42 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1100 | Fee: 11 | Result: OPERATION CREATED
25.07.2025 23:22:42 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1100 | Fee: 11 | Result: OPERATION SUCCESS
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 0 | Result: FAILED: Invalid valid till date
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 10 | Result: OPERATION CREATED
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 10 | Result: OPERATION SUCCESS
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 0 | Result: FAILED: Receiver card not found
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 10 | Result: OPERATION CREATED
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 0 | Result: FAILED: Error
25.07.2025 23:24:11 | From: UNKNOWN | To: UNKNOWN | Amount: 0 | Fee: 0 | Result: FAILED: Operation not found
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 10 | Result: OPERATION CREATED
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 0 | Result: FAILED: Invalid valid till date
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 1000 | Fee: 0 | Result: FAILED: Sender card not found
25.07.2025 23:24:11 | From: 1111222233334444 | To: 5555666677778888 | Amount: 10000 | Fee: 100 | Result: FAILED: Not enough money
